MaStR-Nr. der Einheit,Anzeige-Name der Einheit,Betriebs-Status,Energieträger,Bruttoleistung der Einheit,Nettonennleistung der Einheit,Inbetriebnahmedatum der Einheit,Inbetriebnahmedatum der Einheit am aktuellen Standort,Registrierungsdatum der Einheit,Bundesland,Postleitzahl,Ort,Straße,Hausnummer,Gemarkung,Flurstück,Gemeindeschlüssel,Gemeinde,Landkreis,Koordinate: Breitengrad (WGS84),Koordinate: Längengrad (WGS84),Lat,Lon,Technologie der Stromerzeugung,Art der Solaranlage,Anzahl der Solar-Module,Hauptausrichtung der Solar-Module,Hauptneigungswinkel der Solar-Module,Nutzungsbereich des Gebäudes mit Solaranlage,Name des Solarparks,Überwiegende Nutzungsart der Fläche vor Errichtung der Solaranlage,Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung der Solaranlage,Größe der in Anspruch genommenen Fläche in Hektar,Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung,Lichte Höhe in Meter,Name des Windparks,Wind an Land oder auf See,Nabenhöhe der Windenergieanlage,Rotordurchmesser der Windenergieanlage,Hersteller der Windenergieanlage,Typenbezeichnung,Hauptbrennstoff der Einheit,MaStR-Nr. der Speichereinheit,Speichertechnologie,Nutzbare Speicherkapazität in kWh,Letzte Aktualisierung,Datum der endgültigen Stilllegung,Datum der geplanten Inbetriebnahme,Name des Anlagenbetreibers (nur Org.),"	MaStR-Nr. des Anlagenbetreibers",Volleinspeisung oder Teileinspeisung,MaStR-Nr. der Genehmigung,Name des Anschluss-Netzbetreibers,MaStR-Nr. des Anschluss-Netzbetreibers,Netzbetreiberprüfung,Spannungsebene,MaStR-Nr. der Lokation,MaStR-Nr. der EEG-Anlage,EEG-Anlagenschlüssel,Inbetriebnahmedatum der EEG-Anlage,Installierte Leistung der EEG-Anlage,Zuschlagnummer (EEG/KWK-Ausschreibung),MaStR-Nr. der KWK-Anlage,Inbetriebnahmedatum der KWK-Anlage,Elektrische KWK-Leistung,Thermische Nutzleistung in kW
SEE977107724309,DT79,In Betrieb,Wind,3780,3780,02/12/2014,,06/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"550,928","7,188,544",55.09280,7.18854,Horizontalläufer,,,,,,,,,,,,OWP DanTysk,Windkraft auf See,88,120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,21/04/2023,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE922210030212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL960138676303,EEG903735455018,E2026001HRA0000000DYSKE0000100079,02/12/2014,3780,,,,,
SEE931786068345,DT80,In Betrieb,Wind,3780,3780,05/12/2014,,06/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,078,858","7,188,375",55.07886,7.18838,Horizontalläufer,,,,,,,,,,,,OWP DanTysk,Windkraft auf See,88,120,Siemens Wind Power GmbH & Co. KG,SWT-3.6-120,,,,,21/04/2023,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE922210030212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL960138676303,EEG948032988647,E2026001HRA0000000DYSKE0000100080,05/12/2014,3780,,,,,
SEE939709072042,SB01D,In Betrieb,Wind,4200,4200,10/10/2016,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"5,512,132","6,859,758",55.12132,6.85976,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,26/07/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG931670590716,E2026001SANDBANK00000000000000001,10/10/2016,4200,,,,,
SEE912426766197,SB02D,In Betrieb,Wind,4200,4200,06/09/2016,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,130,069","6,856,348",55.13007,6.85635,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG926418390765,E2026001SANDBANK00000000000000002,06/09/2016,4200,,,,,
SEE985891051792,SB03D,In Betrieb,Wind,4200,4200,24/10/2016,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,138,808","6,852,936",55.13881,6.85294,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG988933286947,E2026001SANDBANK00000000000000003,24/10/2016,4200,,,,,
SEE981077717933,SB04D,In Betrieb,Wind,4200,4200,23/01/2017,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,147,831","6,850,025",55.14783,6.85003,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG988837404225,E2026001SANDBANK00000000000000004,23/01/2017,4200,,,,,
SEE956115765467,SB05D,In Betrieb,Wind,4200,4200,23/01/2017,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,156,581","6,846,614",55.15658,6.84661,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG943768805718,E2026001SANDBANK00000000000000005,23/01/2017,4200,,,,,
SEE996566911969,SB06D,In Betrieb,Wind,4200,4200,21/12/2016,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"551,656","6,842,714",55.16560,6.84271,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG933920658290,E2026001SANDBANK00000000000000006,21/12/2016,4200,,,,,
SEE923601150373,SB07D,In Betrieb,Wind,4200,4200,14/12/2016,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,174,061","6,840,294",55.17406,6.84029,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG920723598915,E2026001SANDBANK00000000000000007,14/12/2016,4200,,,,,
SEE920668379976,SB08D,In Betrieb,Wind,4200,4200,13/12/2016,,07/03/2019,Ausschließliche Wirtschaftszone,,,,,,,,,,"55,183,092","6,836,894",55.18309,6.83689,Horizontalläufer,,,,,,,,,,,,OWP Sandbank,Windkraft auf See,"94,62",130,Siemens Wind Power GmbH & Co. KG,SWT-4.0-130,,,,,28/05/2019,,,DanTysk Sandbank Offshore Wind GmbH & Co.KG,ABR983327007900,Volleinspeisung,SGE941323843212,TenneT TSO GmbH (SNB970033313272),SNB970033313272,Geprüft,Höchstspannung,SEL919433257267,EEG903538155078,E2026001SANDBANK00000000000000008,13/12/2016,4200,,,,,
